drug1_name,drug2_name,smiles1,smiles2,interaction_type,severity
Rivastigmine,Vecuronium,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C,CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,The therapeutic efficacy of Vecuronium can be decreased when used in combination,mild
Lanreotide,Linagliptin,CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)N)C(=O)NC(C(C)O)C(=O)N,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,The therapeutic efficacy of Linagliptin can be decreased when used in combinatio,mild
Sulfisoxazole,Mecamylamine,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,CC1(C2CCC(C2)C1(C)NC)C,The risk or severity of adverse effects can be increased when Sulfisoxazole is c,dangerous
Pipamperone,Canagliflozin,C1CCN(CC1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,The risk or severity of adverse effects can be increased when Pipamperone is com,dangerous
Clonidine,Cobicistat,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5,The serum concentration of Cobicistat can be increased when it is combined with ,dangerous
Rifabutin,Abemaciclib,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)C,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,The serum concentration of Abemaciclib can be decreased when it is combined with,moderate
Benzydamine,Hydroflumethiazide,CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,The therapeutic efficacy of Hydroflumethiazide can be decreased when used in com,mild
Cinnarizine,Ziprasidone,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,The metabolism of Ziprasidone can be decreased when combined with Cinnarizine.,moderate
Histrelin,Repaglinide,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC2=CN(C=N2)CC3=CC=CC=C3)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CC7=CN=CN7)NC(=O)C8CCC(=O)N8,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,The therapeutic efficacy of Repaglinide can be decreased when used in combinatio,mild
Primidone,Aliskiren,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,The metabolism of Aliskiren can be increased when combined with Primidone.,dangerous
